# sweep_type: output
# time: 1675792585.2177281
# time_str: 07/02/2023 12:56
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A]
0.000000000000000000e+00,2.271145000000000184e-08,8.466050000000000559e-09,1.424539999999999963e-08,7.697959999999999668e-08,-8.973840000000000105e-08,1.667179999999999977e-07,-2.951111999999999592e-07,-3.774689999999999769e-07,8.235780000000000443e-08,-5.336285349999999214e-07,-5.339909999999999540e-07,3.624649999999999989e-10,-3.701153599999999849e-07,-3.673449999999999850e-07,-2.770359999999999933e-09,-4.200953100000000433e-07,-4.258540000000000227e-07,5.758690000000000098e-09
1.000000000000000056e-01,5.211066000000000004e-08,8.461459999999999854e-09,4.364920000000000019e-08,3.169198369999999548e-05,3.167479999999999699e-05,1.718370000000000054e-08,1.171629577999999981e-04,1.171099999999999951e-04,5.295779999999999925e-08,1.861160541345000018e-04,1.861160000000000050e-04,5.413449999999999799e-11,2.462564790399999776e-04,2.462499999999999954e-04,6.479039999999999993e-09,3.007249944899999966e-04,3.007269999999999822e-04,-2.005510000000000036e-09
2.000000000000000111e-01,5.216483999999999292e-08,8.495139999999999266e-09,4.366969999999999696e-08,5.095041889999999963e-05,5.093429999999999784e-05,1.611890000000000149e-08,2.221522662999999924e-04,2.221290000000000005e-04,2.326630000000000102e-08,3.638702521200000320e-04,3.638700000000000246e-04,2.521200000000000041e-10,4.869375574300000031e-04,4.869329999999999947e-04,4.557429999999999636e-09,5.951213596999999252e-04,5.951259999999999667e-04,-4.640300000000000199e-09
3.000000000000000444e-01,5.220225999999999671e-08,8.476259999999999431e-09,4.372599999999999728e-08,5.858817890000000018e-05,5.857119999999999921e-05,1.697890000000000058e-08,3.170496194000000062e-04,3.170280000000000147e-04,2.161939999999999836e-08,5.298562576289999378e-04,5.298559999999999902e-04,2.576290000000000106e-10,7.166575144500000622e-04,7.166530000000000383e-04,4.514450000000000267e-09,8.843132098000000335e-04,8.843180000000000398e-04,-4.790200000000000271e-09
4.000000000000000222e-01,5.198614999999999465e-08,8.500749999999999208e-09,4.348539999999999709e-08,6.064666629999999837e-05,6.062980000000000013e-05,1.686629999999999996e-08,4.005550671000000112e-04,4.005360000000000018e-04,1.906710000000000005e-08,6.871212653079999174e-04,6.871209999999999558e-04,2.653080000000000210e-10,9.389264310600000610e-04,9.389220000000000205e-04,4.431060000000000206e-09,1.159125058880000050e-03,1.159129999999999969e-03,-4.941120000000000407e-09
5.000000000000000000e-01,5.329519000000000277e-08,8.453289999999999457e-09,4.484190000000000001e-08,6.256398420000001232e-05,6.254850000000000600e-05,1.548419999999999912e-08,4.716511771999999680e-04,4.716349999999999796e-04,1.617720000000000076e-08,8.368092748229999595e-04,8.368089999999999903e-04,2.748230000000000135e-10,1.152684411619999977e-03,1.152679999999999894e-03,4.411619999999999702e-09,1.435204196299999947e-03,1.435209999999999915e-03,-5.803699999999999718e-09
6.000000000000000888e-01,5.324211999999999977e-08,8.405319999999999260e-09,4.483680000000000217e-08,6.281171639999999718e-05,6.279419999999999588e-05,1.751640000000000126e-08,5.337732462999998997e-04,5.337579999999999538e-04,1.524629999999999935e-08,9.735012831700000238e-04,9.735009999999999887e-04,2.831700000000000158e-10,1.352643626300000087e-03,1.352640000000000006e-03,3.626300000000000185e-09,1.694514101649999879e-03,1.694519999999999924e-03,-5.898350000000000006e-09
7.000000000000000666e-01,5.355449999999999823e-08,8.369599999999999718e-09,4.518489999999999851e-08,6.282044679999999100e-05,6.280269999999999418e-05,1.774679999999999914e-08,5.831882746000000744e-04,5.831760000000000286e-04,1.227460000000000061e-08,1.105900293185999939e-03,1.105899999999999939e-03,2.931860000000000151e-10,1.548743536769999971e-03,1.548740000000000056e-03,3.536769999999999978e-09,1.934473993700000028e-03,1.934479999999999924e-03,-6.006299999999999825e-09
8.000000000000000444e-01,5.895781999999999979e-08,8.321120000000000729e-09,5.063670000000000237e-08,6.326775989999999653e-05,6.325159999999999593e-05,1.615990000000000165e-08,6.212144998000000305e-04,6.212039999999999836e-04,1.049980000000000049e-08,1.216420389174000059e-03,1.216419999999999958e-03,3.891739999999999943e-10,1.735383489189999988e-03,1.735379999999999909e-03,3.489190000000000025e-09,2.185193902129999814e-03,2.185199999999999990e-03,-6.097870000000000161e-09
9.000000000000000222e-01,5.758855999999999909e-08,8.308359999999999628e-09,4.928019999999999946e-08,6.358716449999999275e-05,6.356929999999999460e-05,1.786450000000000092e-08,6.503387202269999808e-04,6.503379999999999795e-04,7.202269999999999780e-10,1.326090397687999974e-03,1.326090000000000038e-03,3.976879999999999816e-10,1.906963414490000066e-03,1.906960000000000079e-03,3.414489999999999859e-09,2.423863806969999996e-03,2.423869999999999844e-03,-6.193030000000000068e-09
