# sweep_type: output
# time: 1675791205.9040434
# time_str: 07/02/2023 12:33
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A],Source current (Vg = 6.0) [A],Drain current (Vg = 6.0) [A],Gate current (Vg = 6.0) [A],Source current (Vg = 7.0) [A],Drain current (Vg = 7.0) [A],Gate current (Vg = 7.0) [A],Source current (Vg = 8.0) [A],Drain current (Vg = 8.0) [A],Gate current (Vg = 8.0) [A],Source current (Vg = 9.0) [A],Drain current (Vg = 9.0) [A],Gate current (Vg = 9.0) [A],Source current (Vg = 10.0) [A],Drain current (Vg = 10.0) [A],Gate current (Vg = 10.0) [A]
0.000000000000000000e+00,-1.890963369999999929e-08,3.966630000000000032e-11,-1.894929999999999949e-08,7.199665099999999736e-08,-5.974490000000000324e-10,7.259410000000000019e-08,-7.636360000000000294e-09,-2.442929999999999959e-09,-5.193430000000000335e-09,-1.907399999999999845e-09,-2.590889999999999932e-09,6.834899999999999838e-10,-2.433827300000000029e-09,-2.488650000000000086e-09,5.482269999999999903e-11,-1.917601000000000397e-09,-2.468240000000000154e-09,5.506389999999999635e-10,-2.010932000000000434e-09,-2.528630000000000190e-09,5.176979999999999632e-10,-2.355780999999999808e-09,-2.565709999999999818e-09,2.099290000000000099e-10,-2.662673999999999898e-09,-2.451829999999999794e-09,-2.108440000000000011e-10,3.106707470639999847e-03,-2.529360000000000042e-09,3.106709999999999940e-03,1.272759743493000022e-02,-2.565070000000000118e-09,1.272760000000000037e-02
1.000000000000000056e-01,-1.871728299999999900e-08,-3.823830000000000019e-10,-1.833489999999999962e-08,5.361588700000000217e-08,-5.619130000000000013e-10,5.417779999999999959e-08,3.374963000000000229e-09,-3.165169999999999835e-10,3.691480000000000161e-09,-4.127679999999999957e-10,-3.043979999999999863e-10,-1.083699999999999965e-10,-1.072879999999999815e-10,-3.068979999999999777e-10,1.996099999999999962e-10,-3.080546699999999544e-10,-3.114419999999999777e-10,3.387329999999999865e-12,-5.776450000000000251e-10,-3.147039999999999919e-10,-2.629409999999999815e-10,-2.582575000000000256e-10,-3.190820000000000154e-10,6.082450000000000280e-11,1.694909999999999579e-10,-3.116369999999999962e-10,4.811279999999999540e-10,3.087379738386999885e-03,-2.616130000000000147e-10,3.087379999999999812e-03,1.270179968873899959e-02,-3.112609999999999760e-10,1.270179999999999920e-02
2.000000000000000111e-01,-1.791714099999999952e-08,-3.655410000000000201e-10,-1.755159999999999882e-08,4.489163300000000137e-08,-5.413670000000000394e-10,4.543300000000000058e-08,4.909895999999999730e-09,-2.948039999999999882e-10,5.204699999999999615e-09,2.458610000000000260e-10,-2.932890000000000198e-10,5.391500000000000459e-10,-8.259040000000000464e-10,-2.915820000000000070e-10,-5.343219999999999877e-10,2.974969999999999809e-10,-2.877109999999999901e-10,5.852079999999999710e-10,-8.241019999999998907e-10,-2.924949999999999810e-10,-5.316069999999999614e-10,-8.733579999999999530e-10,-2.995539999999999977e-10,-5.738039999999999554e-10,-6.380810000000000427e-10,-2.961599999999999885e-10,-3.419210000000000024e-10,3.081799755216000063e-03,-2.447839999999999893e-10,3.081799999999999991e-03,1.268029970506400102e-02,-2.949359999999999832e-10,1.268030000000000025e-02
3.000000000000000444e-01,-1.771566299999999973e-08,-3.483629999999999994e-10,-1.736729999999999895e-08,4.131345899999999817e-08,-5.100410000000000381e-10,4.182349999999999728e-08,5.174222000000000167e-09,-2.703980000000000003e-10,5.444619999999999754e-09,2.546640000000000110e-10,-2.778039999999999952e-10,5.324680000000000063e-10,-8.057599999999999141e-10,-2.779500000000000069e-10,-5.278099999999999589e-10,3.040879999999999636e-10,-2.776130000000000111e-10,5.817009999999999747e-10,-8.265009999999999979e-10,-2.785309999999999763e-10,-5.479700000000000216e-10,-8.397490000000000125e-10,-2.729569999999999809e-10,-5.667919999999999800e-10,-5.963500000000000138e-10,-2.754680000000000149e-10,-3.208819999999999989e-10,3.072349770868000336e-03,-2.291320000000000055e-10,3.072350000000000168e-03,1.270179972323999887e-02,-2.767599999999999831e-10,1.270179999999999920e-02
4.000000000000000222e-01,-1.719192099999999734e-08,-3.315210000000000177e-10,-1.686039999999999856e-08,3.584105199999999983e-08,-4.785479999999999485e-10,3.631960000000000184e-08,5.355526999999999884e-09,-2.599630000000000255e-10,5.615490000000000013e-09,2.616360000000000052e-10,-2.613089999999999917e-10,5.229449999999999969e-10,-7.859359999999999421e-10,-2.628019999999999782e-10,-5.231339999999999639e-10,3.208720000000000165e-10,-2.604459999999999814e-10,5.813179999999999979e-10,-8.250470000000000358e-10,-2.628840000000000095e-10,-5.621629999999999746e-10,-8.271769999999999033e-10,-2.668970000000000039e-10,-5.602799999999999512e-10,-5.563250000000000408e-10,-2.596550000000000200e-10,-2.966700000000000209e-10,3.102849783489999846e-03,-2.165100000000000102e-10,3.102849999999999879e-03,1.272759973956500042e-02,-2.604349999999999904e-10,1.272760000000000037e-02
5.000000000000000000e-01,-1.605214799999999795e-08,-3.180479999999999857e-10,-1.573409999999999926e-08,3.198202499999999948e-08,-4.618750000000000206e-10,3.244389999999999712e-08,5.557891000000000034e-09,-2.432990000000000198e-10,5.801190000000000313e-09,2.714489999999999691e-10,-2.448139999999999882e-10,5.162629999999999573e-10,-7.605730000000000163e-10,-2.439519999999999864e-10,-5.166210000000000299e-10,3.086370000000000065e-10,-2.449620000000000170e-10,5.535990000000000236e-10,-8.061640000000000711e-10,-2.388239999999999913e-10,-5.673400000000000281e-10,-8.024599999999999359e-10,-2.456860000000000241e-10,-5.567739999999999635e-10,-5.040889999999999536e-10,-2.409809999999999871e-10,-2.631080000000000183e-10,3.096399802844000161e-03,-1.971560000000000117e-10,3.096400000000000020e-03,1.268459976329500138e-02,-2.367050000000000113e-10,1.268460000000000074e-02
6.000000000000000888e-01,-1.553738000000000079e-08,-3.050799999999999949e-10,-1.523230000000000002e-08,3.161585099999999884e-08,-4.337490000000000187e-10,3.204959999999999735e-08,5.679775999999999971e-09,-2.278139999999999952e-10,5.907589999999999863e-09,2.955369999999999691e-10,-2.182199999999999971e-10,5.137569999999999662e-10,-7.348709999999999742e-10,-2.242609999999999921e-10,-5.106099999999999562e-10,3.231359999999999996e-10,-2.272899999999999978e-10,5.504259999999999974e-10,-8.060860000000000224e-10,-2.285609999999999927e-10,-5.775250000000000297e-10,-7.738889999999999939e-10,-2.227920000000000047e-10,-5.510969999999999634e-10,-4.666980000000000359e-10,-2.201209999999999939e-10,-2.465770000000000161e-10,3.122179812774000113e-03,-1.872260000000000005e-10,3.122180000000000007e-03,1.268889977187799903e-02,-2.281220000000000008e-10,1.268889999999999948e-02
7.000000000000000666e-01,-1.511815900000000117e-08,-2.902589999999999796e-10,-1.482790000000000005e-08,2.901798099999999941e-08,-4.051189999999999842e-10,2.942310000000000027e-08,5.928272000000000061e-09,-2.054279999999999910e-10,6.133700000000000026e-09,2.913950000000000055e-10,-2.136749999999999885e-10,5.050699999999999940e-10,-7.226090000000000428e-10,-2.151720000000000093e-10,-5.074370000000000335e-10,3.333369999999999833e-10,-2.130819999999999938e-10,5.464189999999999512e-10,-7.966290000000000622e-10,-2.144280000000000116e-10,-5.822010000000000247e-10,-7.616440000000000015e-10,-2.158899999999999907e-10,-5.457540000000000367e-10,-4.424419999999999906e-10,-2.140649999999999996e-10,-2.283769999999999911e-10,3.082659825901000114e-03,-1.740989999999999899e-10,3.082660000000000088e-03,1.267169978803399898e-02,-2.119660000000000102e-10,1.267169999999999928e-02
8.000000000000000444e-01,-1.391404400000000051e-08,-2.791440000000000134e-10,-1.363490000000000055e-08,2.634424899999999750e-08,-3.857509999999999948e-10,2.672999999999999848e-08,6.083905000000000406e-09,-2.007149999999999888e-10,6.284620000000000162e-09,2.987009999999999180e-10,-1.971800000000000108e-10,4.958809999999999547e-10,-6.949369999999999547e-10,-1.998569999999999955e-10,-4.950800000000000109e-10,3.119330000000000022e-10,-1.949110000000000107e-10,5.068440000000000129e-10,-7.853259999999999824e-10,-1.991179999999999890e-10,-5.862079999999999675e-10,-7.423249999999999155e-10,-2.014130000000000054e-10,-5.409119999999999618e-10,-4.097700000000000232e-10,-1.990930000000000072e-10,-2.106769999999999902e-10,3.078359843403999981e-03,-1.565959999999999988e-10,3.078360000000000037e-03,1.268029980890300092e-02,-1.910969999999999916e-10,1.268030000000000025e-02
9.000000000000000222e-01,-1.341730200000000062e-08,-2.687019999999999785e-10,-1.314860000000000069e-08,2.530533299999999757e-08,-3.648669999999999768e-10,2.567019999999999848e-08,6.275172000000000176e-09,-1.833780000000000000e-10,6.458549999999999788e-09,3.039720000000000542e-10,-1.848929999999999942e-10,4.888650000000000484e-10,-6.716009999999999435e-10,-1.840360000000000095e-10,-4.875649999999999598e-10,3.141979999999999939e-10,-1.822929999999999980e-10,4.964910000000000177e-10,-7.641280000000000107e-10,-1.780870000000000024e-10,-5.860409999999999825e-10,-7.129309999999999445e-10,-1.798660000000000125e-10,-5.330649999999999578e-10,-3.690379999999999823e-10,-1.780640000000000119e-10,-1.909739999999999963e-10,3.069339856698999856e-03,-1.433009999999999945e-10,3.069339999999999829e-03,1.271469981815900006e-02,-1.818409999999999979e-10,1.271470000000000065e-02
1.000000000000000000e+00,-1.284180800000000012e-08,-2.564079999999999794e-10,-1.258539999999999999e-08,2.386359999999999936e-08,-3.422999999999999967e-10,2.420589999999999972e-08,6.489076999999999966e-09,-1.628430000000000031e-10,6.651919999999999917e-09,3.142910000000000162e-10,-1.677239999999999990e-10,4.820150000000000152e-10,-6.537879999999999554e-10,-1.697299999999999919e-10,-4.840579999999999636e-10,3.266799999999999514e-10,-1.656360000000000006e-10,4.923159999999999779e-10,-7.677810000000000187e-10,-1.753949999999999925e-10,-5.923860000000000262e-10,-6.993590000000000455e-10,-1.739740000000000033e-10,-5.253850000000000422e-10,-3.422590000000000069e-10,-1.696530000000000034e-10,-1.726060000000000034e-10,3.047429871172999995e-03,-1.288270000000000091e-10,3.047429999999999844e-03,1.270609982892999951e-02,-1.710700000000000100e-10,1.270609999999999969e-02
