# sweep_type: output
# time: 1675794371.8267574
# time_str: 07/02/2023 13:26
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 1) [A],Drain current (Vg = 1) [A],Gate current (Vg = 1) [A]
0.000000000000000000e+00,-7.194890000000001238e-08,-1.343490000000000075e-07,6.240009999999999507e-08
1.000000000000000056e-01,3.207740519999999570e-05,3.201499999999999756e-05,6.240520000000000614e-08
2.000000000000000111e-01,5.117289290000000187e-05,5.112710000000000046e-05,4.579289999999999972e-08
3.000000000000000444e-01,5.939786670000000426e-05,5.935430000000000193e-05,4.356669999999999928e-08
4.000000000000000222e-01,6.156043270000000317e-05,6.152030000000000118e-05,4.013270000000000308e-08
5.000000000000000000e-01,6.316749800000000248e-05,6.312669999999999989e-05,4.079799999999999912e-08
6.000000000000000888e-01,6.238492140000000358e-05,6.234680000000000419e-05,3.812140000000000280e-08
7.000000000000000666e-01,6.330565109999999689e-05,6.327079999999999738e-05,3.485109999999999766e-08
8.000000000000000444e-01,6.374546850000000538e-05,6.371160000000000169e-05,3.386850000000000314e-08
9.000000000000000222e-01,6.356146189999998879e-05,6.352939999999999521e-05,3.206190000000000071e-08
1.000000000000000000e+00,6.317820140000000016e-05,6.314790000000000572e-05,3.030140000000000292e-08
1.100000000000000089e+00,6.434339709999999460e-05,6.431350000000000012e-05,2.989709999999999843e-08
1.200000000000000178e+00,6.481740620000000011e-05,6.478820000000000423e-05,2.920620000000000116e-08
1.300000000000000044e+00,6.397091509999999358e-05,6.394479999999999804e-05,2.611510000000000136e-08
1.400000000000000133e+00,6.405532339999999911e-05,6.402950000000000080e-05,2.582340000000000080e-08
1.500000000000000000e+00,6.479445359999999880e-05,6.476710000000000540e-05,2.735359999999999951e-08
1.600000000000000089e+00,6.452051789999999759e-05,6.449580000000000005e-05,2.471790000000000126e-08
1.700000000000000178e+00,6.464893430000000489e-05,6.462720000000000357e-05,2.173430000000000093e-08
1.800000000000000044e+00,6.479729059999999262e-05,6.477549999999999671e-05,2.179060000000000125e-08
1.900000000000000133e+00,6.515247450000000368e-05,6.513159999999999826e-05,2.087449999999999941e-08
2.000000000000000000e+00,6.510404740000000042e-05,6.508500000000000450e-05,1.904740000000000021e-08
2.100000000000000089e+00,6.499370650000000195e-05,6.497469999999999982e-05,1.900649999999999883e-08
2.200000000000000178e+00,6.552684429999999934e-05,6.550879999999999865e-05,1.804429999999999899e-08
2.300000000000000266e+00,6.603793260000001076e-05,6.602170000000000521e-05,1.623259999999999873e-08
2.400000000000000355e+00,6.608866380000000132e-05,6.607260000000000162e-05,1.606379999999999989e-08
2.500000000000000000e+00,6.630834220000000152e-05,6.629299999999999700e-05,1.534220000000000023e-08
2.600000000000000089e+00,6.600668200000000358e-05,6.599200000000000107e-05,1.468200000000000038e-08
2.700000000000000178e+00,6.672757369999999524e-05,6.671259999999999549e-05,1.497369999999999928e-08
2.800000000000000266e+00,6.605392440000000000e-05,6.603870000000000183e-05,1.522439999999999966e-08
2.900000000000000355e+00,6.626438119999999315e-05,6.625059999999999890e-05,1.378120000000000035e-08
3.000000000000000000e+00,6.600134070000001198e-05,6.598780000000000541e-05,1.354070000000000061e-08
3.100000000000000089e+00,6.585716389999999340e-05,6.584369999999999438e-05,1.346390000000000021e-08
3.200000000000000178e+00,6.652996870000000207e-05,6.651760000000000160e-05,1.236870000000000010e-08
3.300000000000000266e+00,6.650793449999999832e-05,6.649639999999999577e-05,1.153449999999999982e-08
3.400000000000000355e+00,6.661425179999999559e-05,6.660239999999999780e-05,1.185179999999999996e-08
3.500000000000000000e+00,6.731272549999999649e-05,6.730179999999999995e-05,1.092550000000000079e-08
3.600000000000000089e+00,6.665057079999999249e-05,6.664049999999999325e-05,1.007080000000000042e-08
3.700000000000000178e+00,6.776630568999999365e-05,6.775949999999999389e-05,6.805690000000000308e-09
3.800000000000000266e+00,6.740135208000000216e-05,6.739930000000000367e-05,2.052079999999999804e-09
3.900000000000000355e+00,6.832893989000000370e-05,6.832750000000000607e-05,1.439890000000000081e-09
4.000000000000000000e+00,6.727345491999999036e-05,6.727209999999999581e-05,1.354919999999999908e-09
4.100000000000000533e+00,6.774817642000000343e-05,6.774679999999999992e-05,1.376420000000000092e-09
4.200000000000000178e+00,6.761800030000000362e-05,6.755189999999999947e-05,6.610030000000000593e-08
4.299999999999999822e+00,6.746546509999999555e-05,6.740349999999999933e-05,6.196510000000000474e-08
4.400000000000000355e+00,6.826848259999999230e-05,6.820879999999999652e-05,5.968259999999999737e-08
4.500000000000000000e+00,6.768613470000000329e-05,6.762810000000000392e-05,5.803470000000000019e-08
4.600000000000000533e+00,6.871631480000000257e-05,6.866240000000000180e-05,5.391479999999999915e-08
4.700000000000000178e+00,6.830154430000000515e-05,6.824699999999999896e-05,5.454429999999999827e-08
4.800000000000000711e+00,6.856736210000000456e-05,6.851400000000000166e-05,5.336209999999999712e-08
4.900000000000000355e+00,6.822115009999999812e-05,6.817070000000000107e-05,5.045009999999999725e-08
5.000000000000000000e+00,6.865536520000000082e-05,6.860729999999999617e-05,4.806519999999999817e-08
5.100000000000000533e+00,6.815911960000001115e-05,6.811130000000000634e-05,4.781959999999999894e-08
5.200000000000000178e+00,6.893970640000000286e-05,6.889550000000000470e-05,4.420640000000000070e-08
5.300000000000000711e+00,6.887081120000000472e-05,6.882770000000000511e-05,4.311119999999999894e-08
5.400000000000000355e+00,6.902065169999999517e-05,6.897599999999999825e-05,4.465169999999999874e-08
5.500000000000000000e+00,6.875894279999999765e-05,6.871749999999999386e-05,4.144279999999999838e-08
5.600000000000000533e+00,6.896048510000000889e-05,6.892090000000000618e-05,3.958509999999999889e-08
5.700000000000000178e+00,6.910646840000000545e-05,6.906500000000000367e-05,4.146839999999999961e-08
5.800000000000000711e+00,6.983711230000000359e-05,6.979830000000000561e-05,3.881230000000000007e-08
5.900000000000000355e+00,6.988582190000000290e-05,6.984920000000000202e-05,3.662190000000000317e-08
6.000000000000000000e+00,6.960664110000000244e-05,6.956939999999999836e-05,3.724110000000000119e-08
6.100000000000000533e+00,6.842267230000000295e-05,6.838690000000000079e-05,3.577230000000000064e-08
6.200000000000000178e+00,6.992061069999999114e-05,6.988729999999999747e-05,3.331070000000000327e-08
6.300000000000000711e+00,6.940249739999999651e-05,6.937019999999999526e-05,3.229740000000000305e-08
6.400000000000000355e+00,6.972035129999999822e-05,6.968809999999999436e-05,3.225129999999999843e-08
6.500000000000000000e+00,6.986203570000000670e-05,6.983220000000000540e-05,2.983570000000000027e-08
6.600000000000000533e+00,7.007281260000000015e-05,7.004419999999999592e-05,2.861260000000000106e-08
6.700000000000000178e+00,6.945311420000000238e-05,6.942530000000000088e-05,2.781420000000000100e-08
6.800000000000000711e+00,7.040466979999999498e-05,7.037899999999999820e-05,2.566980000000000001e-08
6.900000000000000355e+00,7.024268719999999849e-05,7.021799999999999754e-05,2.468719999999999887e-08
7.000000000000000000e+00,6.965362540000000831e-05,6.962880000000000664e-05,2.482540000000000073e-08
7.100000000000000533e+00,6.968193850000000311e-05,6.965849999999999722e-05,2.343849999999999842e-08
7.200000000000000178e+00,7.047731569999999245e-05,7.045529999999999610e-05,2.201570000000000040e-08
7.300000000000000711e+00,7.057962990000000146e-05,7.055699999999999548e-05,2.262989999999999937e-08
7.400000000000000355e+00,7.064232399999999853e-05,7.062059999999999941e-05,2.172399999999999984e-08
7.500000000000000000e+00,7.089908670000000322e-05,7.087919999999999724e-05,1.988670000000000165e-08
7.600000000000000533e+00,7.080588400000000209e-05,7.078590000000000272e-05,1.998399999999999882e-08
7.700000000000000178e+00,7.158596590000001092e-05,7.156590000000000542e-05,2.006590000000000037e-08
7.800000000000000711e+00,7.146949550000000176e-05,7.145140000000000508e-05,1.809550000000000146e-08
7.900000000000000355e+00,7.083378249999999472e-05,7.081559999999999331e-05,1.818250000000000085e-08
