# sweep_type: output
# time: 1675792851.7252045
# time_str: 07/02/2023 13:00
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A]
0.000000000000000000e+00,5.420482700000000241e-08,-2.176730000000000092e-10,5.442250000000000309e-08,-8.278490000000000433e-08,-9.849880000000000318e-08,1.571389999999999885e-08,-2.444604000000000282e-07,-2.722710000000000165e-07,2.781060000000000155e-08,-8.054706700000000735e-07,-8.058630000000000210e-07,3.923299999999999780e-10,-1.218370230000000064e-06,-1.216790000000000085e-06,-1.580230000000000032e-09,-1.137503018999999955e-06,-1.138199999999999961e-06,6.969810000000000150e-10
1.000000000000000056e-01,3.331863100000000027e-08,-1.627689999999999887e-10,3.348140000000000227e-08,3.210958980000000451e-05,3.209470000000000291e-05,1.488980000000000043e-08,1.159872679000000076e-04,1.159760000000000023e-04,1.126789999999999994e-08,1.870091202360000008e-04,1.870089999999999979e-04,1.202360000000000075e-10,2.465837236400000073e-04,2.465850000000000116e-04,-1.276359999999999923e-09,3.007054304960000285e-04,3.007050000000000152e-04,4.304959999999999783e-10
2.000000000000000111e-01,3.454601599999999561e-08,4.452160000000000061e-10,3.410079999999999788e-08,5.094133939999999941e-05,5.088769999999999730e-05,5.363940000000000318e-08,2.213778287000000113e-04,2.213430000000000117e-04,3.482869999999999741e-08,3.643414095229999977e-04,3.643410000000000138e-04,4.095230000000000240e-10,4.841733889099999761e-04,4.841719999999999986e-04,1.388909999999999911e-09,5.954995675789999518e-04,5.954989999999999849e-04,5.675790000000000105e-10
3.000000000000000444e-01,3.256872099999999908e-08,4.489209999999999948e-10,3.211980000000000152e-08,5.873766839999999725e-05,5.868449999999999692e-05,5.316839999999999850e-08,3.157763580999999910e-04,3.157419999999999866e-04,3.435810000000000112e-08,5.312154308900000335e-04,5.312150000000000292e-04,4.308899999999999979e-10,7.147747204000000137e-04,7.147730000000000359e-04,1.720399999999999973e-09,8.819895796010000224e-04,8.819890000000000152e-04,5.796009999999999510e-10
4.000000000000000222e-01,3.097441099999999862e-08,4.415110000000000173e-10,3.053290000000000072e-08,6.129937450000000495e-05,6.124810000000000063e-05,5.127450000000000032e-08,3.986987391999999948e-04,3.986630000000000013e-04,3.573919999999999752e-08,6.875884532590000389e-04,6.875880000000000446e-04,4.532589999999999854e-10,9.374990007400000247e-04,9.374970000000000265e-04,2.000739999999999855e-09,1.158470582105000039e-03,1.158469999999999986e-03,5.821050000000000283e-10
5.000000000000000000e-01,3.112064799999999818e-08,4.290480000000000160e-10,3.069159999999999936e-08,6.145220439999999826e-05,6.140069999999999643e-05,5.150439999999999763e-08,4.696760715999999977e-04,4.696419999999999870e-04,3.407160000000000051e-08,8.355784744589999898e-04,8.355780000000000152e-04,4.744590000000000260e-10,1.153492215599999978e-03,1.153490000000000071e-03,2.215600000000000083e-09,1.429640593960000141e-03,1.429640000000000034e-03,5.939599999999999838e-10
6.000000000000000888e-01,3.008588000000000364e-08,4.128799999999999742e-10,2.967300000000000041e-08,6.263440040000000438e-05,6.257020000000000615e-05,6.420040000000000094e-08,5.323962865000000239e-04,5.323619999999999828e-04,3.428650000000000066e-08,9.736585051739999296e-04,9.736579999999999671e-04,5.051739999999999556e-10,1.352663142560000089e-03,1.352660000000000104e-03,3.142559999999999951e-09,1.690050590621000040e-03,1.690050000000000016e-03,5.906209999999999811e-10
7.000000000000000666e-01,2.759663800000000262e-08,3.960379999999999925e-10,2.720060000000000138e-08,6.279444189999999965e-05,6.273549999999999591e-05,5.894190000000000054e-08,5.833434347999999882e-04,5.833089999999999543e-04,3.443479999999999942e-08,1.102730527040999935e-03,1.102729999999999900e-03,5.270409999999999794e-10,1.553993432110000166e-03,1.553990000000000102e-03,3.432110000000000052e-09,1.937970587281000103e-03,1.937970000000000014e-03,5.872809999999999699e-10
8.000000000000000444e-01,2.827500700000000230e-08,3.834069999999999975e-10,2.789160000000000075e-08,6.283998410000000263e-05,6.278049999999999972e-05,5.948409999999999728e-08,6.222619666999999266e-04,6.222289999999999679e-04,3.296669999999999701e-08,1.221460601657999847e-03,1.221459999999999950e-03,6.016579999999999504e-10,1.734663646970000146e-03,1.734660000000000065e-03,3.646969999999999867e-09,2.190640586780000232e-03,2.190640000000000209e-03,5.867800000000000148e-10
9.000000000000000222e-01,2.689466499999999938e-08,3.697650000000000151e-10,2.652489999999999885e-08,6.387333110000000024e-05,6.381820000000000504e-05,5.513109999999999794e-08,6.493641508000000222e-04,6.493329999999999848e-04,3.115080000000000124e-08,1.329430606833000017e-03,1.329429999999999935e-03,6.068329999999999868e-10,1.909753893549999979e-03,1.909749999999999989e-03,3.893549999999999650e-09,2.423070582772999821e-03,2.423069999999999825e-03,5.827729999999999685e-10
