# sweep_type: output
# time: 1675793564.8051233
# time_str: 07/02/2023 13:12
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0) [A],Drain current (Vg = 0) [A],Gate current (Vg = 0) [A]
0.000000000000000000e+00,-1.039363299999999911e-07,2.659670000000000184e-09,-1.065959999999999971e-07
1.000000000000000056e-01,-2.713546000000000216e-08,2.761239999999999866e-09,-2.989670000000000327e-08
2.000000000000000111e-01,-3.743943000000000003e-08,-8.090630000000000629e-09,-2.934879999999999940e-08
3.000000000000000444e-01,-3.659077999999999594e-08,-8.004879999999999348e-09,-2.858589999999999990e-08
4.000000000000000222e-01,-3.665455000000000181e-08,-7.925250000000000110e-09,-2.872929999999999839e-08
5.000000000000000000e-01,-3.602455999999999869e-08,-7.832859999999999771e-09,-2.819169999999999892e-08
6.000000000000000888e-01,-3.536546999999999699e-08,-7.711369999999999190e-09,-2.765409999999999945e-08
7.000000000000000666e-01,-3.524178000000000152e-08,-7.628680000000000585e-09,-2.761309999999999929e-08
8.000000000000000444e-01,-3.499384000000000414e-08,-7.518940000000000094e-09,-2.747490000000000073e-08
9.000000000000000222e-01,-3.376227999999999810e-08,-7.408680000000000104e-09,-2.635360000000000048e-08
1.000000000000000000e+00,-3.368172000000000019e-08,-7.312719999999999952e-09,-2.636899999999999941e-08
1.100000000000000089e+00,-3.335958999999999729e-08,-7.154489999999999765e-09,-2.620510000000000084e-08
1.200000000000000178e+00,-3.222899000000000039e-08,-7.027390000000000069e-09,-2.520160000000000115e-08
1.300000000000000044e+00,-3.190474999999999987e-08,-6.918150000000000145e-09,-2.498659999999999889e-08
1.400000000000000133e+00,-3.149918000000000082e-08,-6.753280000000000072e-09,-2.474589999999999992e-08
1.500000000000000000e+00,-3.043007000000000429e-08,-6.610870000000000354e-09,-2.381920000000000063e-08
1.600000000000000089e+00,-3.000759000000000143e-08,-6.480190000000000139e-09,-2.352740000000000129e-08
1.700000000000000178e+00,-2.977502999999999990e-08,-6.344929999999999926e-09,-2.343010000000000081e-08
1.800000000000000044e+00,-2.867682000000000148e-08,-6.173419999999999967e-09,-2.250340000000000151e-08
1.900000000000000133e+00,-2.843184000000000136e-08,-6.066739999999999670e-09,-2.236510000000000086e-08
2.000000000000000000e+00,-2.773038999999999940e-08,-5.913090000000000309e-09,-2.181729999999999910e-08
2.100000000000000089e+00,-2.700071000000000157e-08,-5.772210000000000274e-09,-2.122850000000000047e-08
2.200000000000000178e+00,-2.634876000000000280e-08,-5.642560000000000003e-09,-2.070620000000000114e-08
2.300000000000000266e+00,-2.613116999999999880e-08,-5.491470000000000270e-09,-2.063969999999999853e-08
2.400000000000000355e+00,-2.534968999999999914e-08,-5.365389999999999812e-09,-1.998429999999999850e-08
2.500000000000000000e+00,-2.465139000000000208e-08,-5.189289999999999975e-09,-1.946210000000000127e-08
2.600000000000000089e+00,-2.397595999999999958e-08,-5.036160000000000112e-09,-1.893979999999999864e-08
2.700000000000000178e+00,-2.354905000000000069e-08,-4.854950000000000073e-09,-1.869410000000000062e-08
2.800000000000000266e+00,-2.257656000000000294e-08,-4.752859999999999653e-09,-1.782370000000000164e-08
2.900000000000000355e+00,-2.215262000000000120e-08,-4.574719999999999687e-09,-1.757790000000000151e-08
3.000000000000000000e+00,-2.153944999999999969e-08,-4.360850000000000301e-09,-1.717859999999999939e-08
3.100000000000000089e+00,-2.026480999999999880e-08,-4.094909999999999873e-09,-1.616989999999999976e-08
3.200000000000000178e+00,-1.942146999999999994e-08,-3.804469999999999788e-09,-1.561700000000000015e-08
3.300000000000000266e+00,-1.859946999999999760e-08,-3.535469999999999993e-09,-1.506399999999999844e-08
3.400000000000000355e+00,-1.743095999999999954e-08,-3.232260000000000169e-09,-1.419870000000000061e-08
3.500000000000000000e+00,-1.666580000000000091e-08,-2.989300000000000007e-09,-1.367650000000000008e-08
3.600000000000000089e+00,-1.581154999999999841e-08,-2.708550000000000123e-09,-1.310299999999999994e-08
3.700000000000000178e+00,-1.473808999999999992e-08,-2.490090000000000032e-09,-1.224799999999999989e-08
3.800000000000000266e+00,-1.425341000000000031e-08,-2.266509999999999859e-09,-1.198689999999999962e-08
3.900000000000000355e+00,-1.312012000000000122e-08,-1.988320000000000016e-09,-1.113180000000000079e-08
4.000000000000000000e+00,-1.201338000000000014e-08,-1.746880000000000072e-09,-1.026649999999999965e-08
4.100000000000000533e+00,4.283887000000000222e-08,-1.485029999999999989e-09,4.432390000000000159e-08
4.200000000000000178e+00,4.701906999999999488e-08,4.901970000000000186e-09,4.211709999999999800e-08
4.299999999999999822e+00,4.673562000000000037e-08,4.664620000000000380e-09,4.207099999999999999e-08
4.400000000000000355e+00,4.599563000000000487e-08,4.395629999999999637e-09,4.160000000000000193e-08
4.500000000000000000e+00,4.369792999999999615e-08,4.146030000000000002e-09,3.955189999999999698e-08
4.600000000000000533e+00,4.143885000000000316e-08,3.858150000000000372e-09,3.758070000000000114e-08
4.700000000000000178e+00,4.184419999999999825e-08,3.557000000000000021e-09,3.828720000000000154e-08
4.800000000000000711e+00,3.929732000000000053e-08,3.298719999999999958e-09,3.599860000000000181e-08
4.900000000000000355e+00,3.781933999999999857e-08,3.054740000000000145e-09,3.476459999999999884e-08
5.000000000000000000e+00,3.748265999999999638e-08,2.830659999999999818e-09,3.465199999999999821e-08
