# sweep_type: output
# time: 1675792321.2670445
# time_str: 07/02/2023 12:52
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A]
0.000000000000000000e+00,-2.916220999999999746e-08,1.264289999999999984e-09,-3.042649999999999786e-08,-1.640017000000000120e-07,-1.882910000000000017e-07,2.428929999999999966e-08,-4.269856000000000141e-07,-4.418790000000000090e-07,1.489339999999999988e-08,-5.650268400000000493e-07,-5.616950000000000279e-07,-3.331839999999999943e-09,-7.370064199999999903e-07,-7.385770000000000100e-07,1.570579999999999968e-09,-8.721207900000000104e-07,-8.695609999999999869e-07,-2.559789999999999905e-09
1.000000000000000056e-01,2.706116399999999926e-08,1.850639999999999877e-10,2.687610000000000069e-08,3.165856809999999949e-05,3.164479999999999897e-05,1.376810000000000005e-08,1.162381767000000035e-04,1.162120000000000047e-04,2.617670000000000040e-08,1.884017158700000119e-04,1.883950000000000013e-04,6.715870000000000301e-09,2.465056276799999888e-04,2.465020000000000058e-04,3.627680000000000029e-09,3.020113465499999926e-04,3.020049999999999926e-04,6.346550000000000175e-09
2.000000000000000111e-01,1.759152600000000074e-08,2.002260000000000073e-10,1.739129999999999970e-08,5.102090839999999966e-05,5.099999999999999960e-05,2.090839999999999947e-08,2.230518526999999810e-04,2.230409999999999945e-04,1.085269999999999996e-08,3.630926336699999619e-04,3.630889999999999790e-04,3.633669999999999923e-09,4.845161813839999904e-04,4.845159999999999940e-04,1.813840000000000066e-10,5.947201341600000290e-04,5.947160000000000163e-04,4.134159999999999711e-09
3.000000000000000444e-01,1.575884599999999958e-08,1.958459999999999925e-10,1.556299999999999847e-08,5.852966909999999644e-05,5.850649999999999964e-05,2.316909999999999933e-08,3.168286202199999883e-04,3.168229999999999853e-04,5.620219999999999851e-09,5.333393297999999968e-04,5.333360000000000314e-04,3.329799999999999813e-09,7.151621548349999455e-04,7.151619999999999809e-04,1.548349999999999880e-10,8.834100159700000081e-04,8.834059999999999916e-04,4.015969999999999730e-09
4.000000000000000222e-01,1.584182699999999830e-08,1.815269999999999926e-10,1.566029999999999895e-08,6.055062999999999797e-05,6.052719999999999878e-05,2.342999999999999871e-08,3.997700756200000378e-04,3.997620000000000123e-04,8.075620000000000285e-09,6.902459993200000437e-04,6.902429999999999980e-04,2.999319999999999937e-09,9.373001274509999096e-04,9.372999999999999604e-04,1.274509999999999924e-10,1.160183875780000130e-03,1.160180000000000022e-03,3.875779999999999617e-09
5.000000000000000000e-01,1.372792100000000020e-08,1.623209999999999971e-10,1.356560000000000039e-08,6.148864729999999610e-05,6.145910000000000251e-05,2.954729999999999949e-08,4.706231440499999931e-04,4.706159999999999814e-04,7.144050000000000368e-09,8.359306038799999613e-04,8.359279999999999966e-04,2.603879999999999905e-09,1.148140103405999876e-03,1.148139999999999968e-03,1.034059999999999994e-10,1.425562624270000070e-03,1.425559999999999978e-03,2.624270000000000079e-09
6.000000000000000888e-01,1.238859599999999956e-08,1.442959999999999999e-10,1.224430000000000000e-08,6.218349490000000667e-05,6.214960000000000547e-05,3.389490000000000131e-08,5.315187001700000247e-04,5.315149999999999823e-04,3.700170000000000055e-09,9.746264161399999845e-04,9.746239999999999981e-04,2.416139999999999889e-09,1.346419981346800004e-03,1.346420000000000082e-03,-1.865320000000000053e-11,1.690502341839999860e-03,1.690499999999999945e-03,2.341839999999999846e-09
7.000000000000000666e-01,1.160864899999999888e-08,1.274490000000000011e-10,1.148119999999999960e-08,6.201239320000000014e-05,6.197589999999999729e-05,3.649319999999999884e-08,5.816603281500000227e-04,5.816579999999999797e-04,2.328150000000000072e-09,1.099471762859999865e-03,1.099469999999999961e-03,1.762860000000000052e-09,1.548999966820500084e-03,1.549000000000000030e-03,-3.317949999999999771e-11,1.945992030760000137e-03,1.945990000000000089e-03,2.030760000000000130e-09
8.000000000000000444e-01,1.061533299999999970e-08,1.072330000000000008e-10,1.050809999999999931e-08,6.268219370000000315e-05,6.264099999999999877e-05,4.119370000000000179e-08,6.214254825199999697e-04,6.214239999999999781e-04,1.482519999999999964e-09,1.216500202589999814e-03,1.216499999999999916e-03,2.025899999999999952e-10,1.736959949121600049e-03,1.736960000000000066e-03,-5.087839999999999695e-11,2.186851858840000058e-03,2.186850000000000165e-03,1.858839999999999963e-09
9.000000000000000222e-01,-3.157086700000000089e-09,9.072330000000000299e-11,-3.247810000000000182e-09,6.353978620000000268e-05,6.349669999999999804e-05,4.308619999999999707e-08,6.511179117600000670e-04,6.511120000000000232e-04,5.911759999999999859e-09,1.326640089213100039e-03,1.326640000000000024e-03,8.921310000000000081e-11,1.911579929252299947e-03,1.911579999999999963e-03,-7.074770000000000479e-11,2.421261601479999994e-03,2.421260000000000166e-03,1.601479999999999933e-09
